 ,Area,Mean,Min,Max,Major,Minor,Angle,%Area
1,429,255,255,255,24.611,22.194,159.105,100
2,297,255,255,255,20.380,18.555,70.654,100
3,279,255,255,255,21.319,16.663,4.986,100
4,417,255,255,255,26.328,20.166,113.414,100
5,299,255,255,255,23.578,16.146,154.918,100
6,449,255,255,255,25.464,22.451,15.257,100
7,344,255,255,255,22.102,19.817,51.759,100
8,292,255,255,255,20.909,17.781,39.189,100
9,407,255,255,255,25.351,20.441,41.464,100
10,258,255,255,255,19.302,17.019,124.516,100
11,274,255,255,255,20.305,17.182,130.634,100
12,298,255,255,255,22.875,16.587,83.543,100
13,270,255,255,255,20.220,17.002,51.722,100
14,385,255,255,255,25.698,19.076,16.261,100
15,322,255,255,255,21.644,18.942,12.609,100
16,280,255,255,255,19.413,18.364,40.429,100
17,391,255,255,255,24.016,20.730,39.998,100
18,332,255,255,255,21.781,19.407,85.213,100
19,383,255,255,255,26.114,18.674,88.806,100
20,413,255,255,255,25.029,21.010,147.658,100
21,283,255,255,255,21.650,16.643,9.420,100
22,272,255,255,255,20.150,17.187,87.096,100
23,307,255,255,255,22.071,17.710,163.094,100
24,297,255,255,255,23.246,16.267,81.206,100
25,331,255,255,255,21.546,19.560,67.107,100
26,287,255,255,255,20.522,17.807,113.580,100
27,367,255,255,255,24.155,19.345,46.403,100
28,294,255,255,255,20.978,17.844,8.900,100
29,266,255,255,255,20.209,16.759,113.686,100
30,367,255,255,255,24.039,19.438,10.483,100
31,464,255,255,255,31.832,18.559,151.714,100
32,328,255,255,255,22.458,18.596,117.226,100
33,310,255,255,255,21.173,18.642,153.431,100
34,311,255,255,255,20.324,19.484,93.128,100
35,337,255,255,255,22.140,19.380,4.914,100
36,280,255,255,255,22.852,15.601,50.790,100
37,350,255,255,255,21.689,20.547,123.339,100
38,290,255,255,255,19.979,18.482,0.286,100
39,307,255,255,255,20.727,18.858,82.237,100
40,246,255,255,255,19.266,16.258,59.133,100
41,366,255,255,255,22.947,20.308,117.110,100
42,497,255,255,255,27.344,23.142,156.890,100
43,344,255,255,255,24.093,18.179,80.390,100
44,481,255,255,255,26.658,22.973,16.824,100
45,265,255,255,255,20.457,16.493,93.584,100
46,376,255,255,255,25.013,19.139,163.613,100
47,354,255,255,255,22.959,19.632,167.000,100
48,391,255,255,255,23.552,21.138,151.111,100
49,270,255,255,255,19.677,17.470,122.900,100
50,259,255,255,255,19.161,17.210,144.825,100
51,423,255,255,255,26.451,20.362,97.103,100
52,298,255,255,255,21.113,17.971,75.144,100
53,286,255,255,255,20.919,17.407,115.956,100
54,289,255,255,255,20.050,18.353,52.264,100
55,339,255,255,255,21.829,19.773,68.502,100
56,334,255,255,255,22.083,19.258,2.512,100
57,462,255,255,255,27.285,21.559,23.534,100
58,178,255,255,255,17.609,12.870,108.401,100
59,343,255,255,255,23.942,18.241,152.917,100
60,219,255,255,255,18.278,15.255,42.958,100
61,450,255,255,255,32.747,17.497,66.396,100
62,478,255,255,255,26.303,23.139,174.782,100
63,297,255,255,255,21.373,17.693,119.938,100
64,352,255,255,255,21.952,20.417,119.729,100
65,244,255,255,255,20.117,15.443,118.941,100
66,339,255,255,255,23.261,18.556,6.626,100
67,481,255,255,255,26.592,23.031,13.152,100
68,280,255,255,255,20.222,17.630,63.462,100
69,273,255,255,255,19.803,17.552,74.044,100
70,244,255,255,255,21.168,14.677,96.378,100
71,325,255,255,255,21.383,19.352,61.975,100
72,345,255,255,255,21.865,20.090,12.183,100
73,245,255,255,255,22.246,14.023,120.108,100
74,226,255,255,255,17.897,16.079,13.582,100
75,319,255,255,255,20.889,19.444,101.813,100
76,254,255,255,255,19.064,16.964,78.841,100
77,275,255,255,255,20.584,17.010,138.222,100
78,454,255,255,255,25.047,23.079,92.116,100
79,286,255,255,255,20.267,17.968,35.027,100
80,376,255,255,255,24.182,19.797,46.612,100
81,215,255,255,255,16.660,16.432,61.359,100
82,326,255,255,255,21.862,18.986,66.849,100
83,347,255,255,255,21.631,20.425,174.995,100
84,329,255,255,255,21.733,19.274,47.648,100
85,322,255,255,255,22.078,18.570,142.132,100
86,238,255,255,255,22.650,13.379,129.787,100
87,264,255,255,255,18.986,17.704,90.484,100
88,315,255,255,255,21.687,18.494,134.380,100
89,188,255,255,255,16.228,14.751,81.758,100
90,290,255,255,255,20.613,17.913,179.682,100
91,287,255,255,255,21.404,17.073,31.481,100
92,452,255,255,255,26.037,22.104,130.893,100
93,266,255,255,255,22.702,14.918,13.443,100
94,337,255,255,255,21.144,20.294,163.491,100
95,475,255,255,255,31.086,19.456,88.069,100
96,311,255,255,255,23.217,17.056,136.642,100
97,308,255,255,255,19.971,19.637,70.165,100
98,346,255,255,255,22.321,19.737,21.268,100
99,282,255,255,255,21.820,16.455,149.497,100
100,344,255,255,255,23.069,18.987,27.439,100
101,222,255,255,255,20.610,13.715,100.198,100
102,102,255,255,255,15.912,8.162,116.448,100
103,302,255,255,255,20.467,18.787,14.900,100
104,203,255,255,255,19.695,13.124,76.955,100
105,291,255,255,255,20.123,18.412,14.331,100
106,261,255,255,255,22.135,15.013,69.275,100
107,252,255,255,255,23.261,13.794,3.819,100
108,254,255,255,255,21.782,14.848,125.104,100
109,363,255,255,255,29.117,15.874,116.656,100
110,334,255,255,255,23.446,18.138,143.173,100
111,308,255,255,255,23.753,16.510,176.839,100
112,228,255,255,255,18.890,15.368,52.670,100
113,366,255,255,255,23.829,19.556,22.731,100
114,347,255,255,255,23.396,18.884,73.705,100
115,411,255,255,255,26.728,19.579,33.486,100
116,295,255,255,255,21.612,17.379,85.849,100
117,367,255,255,255,23.801,19.633,128.364,100
118,450,255,255,255,25.424,22.536,139.541,100
119,327,255,255,255,21.005,19.822,33.818,100
120,316,255,255,255,20.819,19.326,70.733,100
121,392,255,255,255,24.392,20.462,61.759,100
122,226,255,255,255,21.728,13.243,27.533,100
123,202,255,255,255,19.909,12.918,173.401,100
124,338,255,255,255,21.687,19.844,61.406,100
125,272,255,255,255,21.490,16.116,4.879,100
126,407,255,255,255,26.217,19.766,148.178,100
127,276,255,255,255,22.337,15.733,164.063,100
128,330,255,255,255,20.808,20.193,57.798,100
129,313,255,255,255,23.426,17.012,32.851,100
130,421,255,255,255,25.724,20.838,33.676,100
131,382,255,255,255,25.774,18.871,22.648,100
132,295,255,255,255,22.123,16.978,50.278,100
133,297,255,255,255,20.834,18.151,155.831,100
134,339,255,255,255,22.184,19.457,119.883,100
135,272,255,255,255,22.464,15.416,143.956,100
136,421,255,255,255,27.937,19.187,60.831,100
137,334,255,255,255,21.632,19.659,17.834,100
138,363,255,255,255,23.116,19.994,157.359,100
139,144,255,255,255,15.648,11.717,53.309,100
140,241,255,255,255,18.382,16.693,179.176,100
141,347,255,255,255,23.219,19.028,34.990,100
142,466,255,255,255,26.661,22.255,175.129,100
143,270,255,255,255,19.616,17.525,40.832,100
144,265,255,255,255,22.657,14.892,166.461,100
145,225,255,255,255,23.448,12.217,174.182,100
146,256,255,255,255,22.248,14.651,118.372,100
147,374,255,255,255,25.421,18.732,66.462,100
148,133,255,255,255,16.369,10.345,42.915,100
149,295,255,255,255,20.222,18.574,76.000,100
150,264,255,255,255,19.993,16.813,15.833,100
151,432,255,255,255,23.693,23.216,52.262,100
152,330,255,255,255,23.732,17.705,91.937,100
153,294,255,255,255,20.879,17.929,96.765,100
154,311,255,255,255,22.228,17.815,153.373,100
155,326,255,255,255,23.913,17.358,175.274,100
156,324,255,255,255,23.035,17.909,87.290,100
157,269,255,255,255,21.048,16.273,179.806,100
158,261,255,255,255,19.467,17.070,150.873,100
159,312,255,255,255,20.908,19.000,125.534,100
160,340,255,255,255,22.754,19.025,175.459,100
161,274,255,255,255,20.953,16.650,108.941,100
162,252,255,255,255,19.811,16.196,167.162,100
163,304,255,255,255,20.458,18.920,157.936,100
164,396,255,255,255,23.189,21.744,19.724,100
165,385,255,255,255,24.415,20.077,0.074,100
166,308,255,255,255,22.364,17.535,45.929,100
167,332,255,255,255,20.939,20.188,162.613,100
168,397,255,255,255,23.899,21.151,85.092,100
169,467,255,255,255,27.106,21.936,148.978,100
170,360,255,255,255,22.900,20.016,167.270,100
171,243,255,255,255,18.252,16.952,135.893,100
172,410,255,255,255,24.497,21.310,1.274,100
173,177,255,255,255,16.916,13.322,54.337,100
174,424,255,255,255,29.969,18.014,46.483,100
175,364,255,255,255,22.425,20.667,6.248,100
176,331,255,255,255,22.607,18.642,91.830,100
177,266,255,255,255,20.993,16.133,150.825,100
178,428,255,255,255,25.429,21.430,94.321,100
179,328,255,255,255,21.762,19.191,35.475,100
180,218,255,255,255,22.756,12.198,6.846,100
181,308,255,255,255,20.724,18.923,0.651,100
182,290,255,255,255,21.862,16.890,145.065,100
183,311,255,255,255,21.784,18.177,76.615,100
184,369,255,255,255,23.518,19.978,25.980,100
185,297,255,255,255,22.758,16.616,2.329,100
186,317,255,255,255,22.756,17.736,124.547,100
187,273,255,255,255,20.129,17.269,148.619,100
188,312,255,255,255,20.783,19.114,143.795,100
189,470,255,255,255,26.439,22.635,177.598,100
190,180,255,255,255,16.334,14.031,5.623,100
191,275,255,255,255,20.112,17.409,145.992,100
192,224,255,255,255,19.653,14.512,42.996,100
193,383,255,255,255,23.634,20.633,12.832,100
194,277,255,255,255,19.459,18.124,63.325,100
195,235,255,255,255,18.635,16.057,120.912,100
196,342,255,255,255,22.293,19.533,23.092,100
197,381,255,255,255,22.333,21.722,64.781,100
198,310,255,255,255,23.075,17.105,37.762,100
199,251,255,255,255,18.658,17.129,130.580,100
200,409,255,255,255,25.059,20.781,68.961,100
201,365,255,255,255,22.898,20.296,11.702,100
202,309,255,255,255,21.204,18.555,135.235,100
203,305,255,255,255,21.366,18.176,153.646,100
204,275,255,255,255,19.915,17.582,129.655,100
205,293,255,255,255,21.879,17.051,112.768,100
206,340,255,255,255,21.540,20.098,124.851,100
207,167,255,255,255,17.522,12.135,7.158,100
208,409,255,255,255,25.562,20.372,6.169,100
209,209,255,255,255,19.161,13.888,54.009,100
210,262,255,255,255,20.175,16.535,131.618,100
211,351,255,255,255,21.654,20.639,111.922,100
212,375,255,255,255,22.914,20.837,138.716,100
213,272,255,255,255,19.946,17.363,73.803,100
214,367,255,255,255,22.381,20.878,102.606,100
215,372,255,255,255,23.566,20.098,96.255,100
216,308,255,255,255,20.514,19.117,157.584,100
217,452,255,255,255,24.545,23.447,172.449,100
218,400,255,255,255,25.703,19.815,14.211,100
219,178,255,255,255,17.181,13.191,159.746,100
220,197,255,255,255,19.083,13.144,31.234,100
221,397,255,255,255,22.917,22.057,1.941,100
222,305,255,255,255,20.035,19.383,73.621,100
223,330,255,255,255,21.223,19.798,33.425,100
224,369,255,255,255,23.885,19.671,120.036,100
225,318,255,255,255,22.981,17.619,94.578,100
226,344,255,255,255,22.233,19.700,96.834,100
227,227,255,255,255,21.894,13.201,152.287,100
228,134,255,255,255,14.755,11.563,130.811,100
229,411,255,255,255,24.220,21.606,103.422,100
230,376,255,255,255,22.961,20.850,8.515,100
231,436,255,255,255,28.266,19.639,179.943,100
232,280,255,255,255,22.366,15.940,134.733,100
233,306,255,255,255,21.289,18.301,78.870,100
234,399,255,255,255,25.114,20.228,159.325,100
235,335,255,255,255,21.483,19.855,171.349,100
236,274,255,255,255,21.553,16.186,99.709,100
237,274,255,255,255,20.362,17.133,115.697,100
238,175,255,255,255,16.755,13.299,142.432,100
239,232,255,255,255,20.673,14.289,4.851,100
240,206,255,255,255,18.061,14.522,93.328,100
241,456,255,255,255,31.613,18.366,113.104,100
242,247,255,255,255,19.571,16.069,9.772,100
243,247,255,255,255,19.885,15.816,97.767,100
244,392,255,255,255,25.214,19.795,8.250,100
245,333,255,255,255,23.170,18.299,84.537,100
246,288,255,255,255,21.373,17.157,17.819,100
247,369,255,255,255,21.954,21.401,38.633,100
248,218,255,255,255,19.132,14.508,72.833,100
249,253,255,255,255,26.486,12.162,159.889,100
250,407,255,255,255,23.531,22.023,70.364,100
251,322,255,255,255,20.640,19.863,137.277,100
252,360,255,255,255,22.648,20.239,17.176,100
253,281,255,255,255,20.299,17.625,119.751,100
254,239,255,255,255,18.325,16.606,87.962,100
255,454,255,255,255,25.181,22.955,128.436,100
256,230,255,255,255,22.753,12.871,177.452,100
257,270,255,255,255,21.005,16.366,146.881,100
258,471,255,255,255,27.820,21.556,115.714,100
259,438,255,255,255,28.809,19.358,60.531,100
260,229,255,255,255,21.794,13.379,100.390,100
261,343,255,255,255,22.350,19.540,76.770,100
262,347,255,255,255,22.544,19.598,34.544,100
263,317,255,255,255,23.597,17.105,28.960,100
264,375,255,255,255,23.534,20.288,30.066,100
265,339,255,255,255,23.413,18.436,177.864,100
266,265,255,255,255,23.331,14.462,147.333,100
267,466,255,255,255,27.035,21.947,126.067,100
268,314,255,255,255,22.085,18.103,8.311,100
269,241,255,255,255,18.985,16.162,44.182,100
270,227,255,255,255,19.914,14.514,8.855,100
271,159,255,255,255,16.223,12.479,131.743,100
272,210,255,255,255,17.361,15.401,118.404,100
273,422,255,255,255,26.037,20.636,6.740,100
274,155,255,255,255,16.069,12.281,122.996,100
275,405,255,255,255,24.176,21.329,151.446,100
276,276,255,255,255,19.300,18.208,5.209,100
277,238,255,255,255,23.627,12.826,105.129,100
278,63,255,255,255,9.827,8.162,96.549,100
279,356,255,255,255,23.877,18.984,9.020,100
280,269,255,255,255,21.146,16.197,124.290,100
281,386,255,255,255,23.412,20.993,1.000,100
282,370,255,255,255,22.729,20.727,137.902,100
283,329,255,255,255,21.432,19.545,52.251,100
284,267,255,255,255,19.027,17.867,116.856,100
285,390,255,255,255,25.625,19.378,35.072,100
286,444,255,255,255,26.387,21.424,170.661,100
287,429,255,255,255,27.480,19.877,83.808,100
288,372,255,255,255,24.657,19.209,52.606,100
289,264,255,255,255,20.829,16.138,169.695,100
290,331,255,255,255,20.949,20.117,30.988,100
291,252,255,255,255,19.071,16.824,158.744,100
292,471,255,255,255,27.116,22.116,179.860,100
293,187,255,255,255,18.517,12.858,61.228,100
294,252,255,255,255,19.342,16.588,101.650,100
295,209,255,255,255,17.805,14.945,0.041,100
296,296,255,255,255,21.825,17.268,71.550,100
297,417,255,255,255,25.962,20.451,1.045,100
298,381,255,255,255,24.216,20.032,60.116,100
299,420,255,255,255,27.041,19.776,51.469,100
300,425,255,255,255,26.038,20.783,28.391,100
301,208,255,255,255,18.308,14.465,146.720,100
302,470,255,255,255,26.980,22.180,67.034,100
303,312,255,255,255,22.116,17.962,132.331,100
304,410,255,255,255,26.034,20.052,93.193,100
305,344,255,255,255,22.814,19.198,152.941,100
306,379,255,255,255,24.849,19.420,135.845,100
307,449,255,255,255,26.910,21.244,25.743,100
308,311,255,255,255,21.626,18.311,1.053,100
309,140,255,255,255,17.438,10.222,56.539,100
310,332,255,255,255,24.520,17.240,84.137,100
311,201,255,255,255,18.973,13.489,162.991,100
312,401,255,255,255,23.597,21.637,166.915,100
313,223,255,255,255,17.767,15.981,54.143,100
314,315,255,255,255,21.422,18.723,2.170,100
315,356,255,255,255,24.076,18.827,61.037,100
316,250,255,255,255,22.352,14.241,130.028,100
317,240,255,255,255,19.630,15.567,57.399,100
318,310,255,255,255,20.386,19.361,85.305,100
319,291,255,255,255,20.006,18.520,0.746,100
320,244,255,255,255,18.761,16.559,102.960,100
321,339,255,255,255,22.641,19.064,121.671,100
322,412,255,255,255,24.067,21.797,179.828,100
323,397,255,255,255,23.840,21.203,128.391,100
324,314,255,255,255,21.245,18.818,90.200,100
325,265,255,255,255,20.700,16.300,176.056,100
326,213,255,255,255,19.157,14.156,97.522,100
327,475,255,255,255,24.994,24.197,148.647,100
328,270,255,255,255,18.935,18.155,95.829,100
329,227,255,255,255,18.308,15.787,75.408,100
330,347,255,255,255,22.156,19.941,94.876,100
331,317,255,255,255,20.947,19.269,128.045,100
332,280,255,255,255,20.457,17.427,111.865,100
333,394,255,255,255,25.138,19.956,82.371,100
334,213,255,255,255,19.478,13.924,67.233,100
335,268,255,255,255,20.099,16.977,123.100,100
336,484,255,255,255,27.932,22.062,54.001,100
337,308,255,255,255,21.100,18.586,99.455,100
338,366,255,255,255,24.243,19.222,48.266,100
339,376,255,255,255,23.432,20.431,40.143,100
340,384,255,255,255,23.385,20.908,53.549,100
341,350,255,255,255,23.656,18.838,131.363,100
342,366,255,255,255,22.697,20.532,129.612,100
